#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_2888	1	0	0	0	0	2	1	2	0	0	0	1	0	2	1	0	3	2
OTU_2889	0	1	0	0	2	1	11	1	0	0	1	1	0	0	5	2	0	0
OTU_289	16	12	12	6	7	8	16	43	26	24	26	33	13	5	19	42	9	23
OTU_2890	2	0	0	1	1	1	9	4	1	5	3	0	3	5	1	1	3	2
OTU_2891	1	0	0	2	0	0	2	2	3	0	1	1	0	1	1	4	2	2
OTU_2892	0	2	2	3	2	3	8	2	5	3	3	4	2	4	2	4	2	2
OTU_2893	0	0	0	0	0	0	1	0	3	2	1	0	1	2	1	2	2	2
OTU_2894	0	0	0	1	0	0	1	3	1	1	0	0	1	3	2	1	4	2
OTU_2895	0	0	0	1	0	0	4	2	1	2	1	3	2	1	0	1	0	0
OTU_2896	1	0	0	0	0	0	6	6	0	2	0	1	0	0	2	0	1	0
OTU_2897	0	0	0	0	0	0	13	0	0	1	1	0	0	0	0	0	2	0
OTU_2898	0	0	0	0	0	0	1	3	0	1	1	2	1	0	2	1	1	0
OTU_2899	3	3	0	0	0	1	4	5	3	3	2	2	1	2	1	2	2	2
OTU_29	105	94	269	152	298	199	96	159	78	112	148	60	138	175	92	149	259	161
OTU_290	15	22	9	9	19	17	17	11	12	15	16	11	8	5	26	18	10	14
OTU_2900	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0
OTU_2901	0	3	0	1	1	1	5	1	1	1	1	1	1	1	5	2	1	3
OTU_2904	0	0	0	0	0	0	2	3	3	2	4	7	2	2	2	3	1	1
OTU_2905	4	3	4	3	0	1	6	1	5	3	1	1	2	0	2	0	1	3
OTU_2906	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0
OTU_2907	0	0	1	1	2	2	9	9	11	6	9	17	6	4	3	2	4	4
OTU_2909	0	1	0	0	0	1	1	3	0	2	0	4	2	1	0	2	5	0
OTU_291	17	11	15	13	25	19	13	7	32	16	7	13	27	17	13	11	16	14
OTU_2910	0	1	1	0	0	2	3	3	4	2	2	9	4	1	2	4	1	2
OTU_2911	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	5	1
OTU_2912	0	0	0	1	0	0	0	0	3	3	2	3	2	1	2	0	0	0
OTU_2913	0	3	0	1	0	2	1	2	2	1	1	1	2	2	1	1	0	1
OTU_2914	0	0	0	2	0	0	1	0	0	7	0	5	0	0	0	0	0	0
OTU_2915	0	1	0	0	0	0	0	0	0	5	0	0	0	0	2	4	0	2
OTU_2916	3	1	0	0	2	0	0	4	1	0	53	2	0	1	0	1	0	1
OTU_2917	0	0	0	0	2	0	0	0	1	0	1	1	1	1	6	0	0	1
OTU_2918	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	1	3
OTU_2919	1	1	2	2	2	3	7	1	0	0	3	0	1	1	25	0	1	1
OTU_2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2
OTU_293	4	1	6	4	43	2	8	0	38	4	59	1	62	2	22	2	1	1
OTU_294	15	14	11	7	5	14	28	17	27	22	25	29	16	11	24	14	11	23
OTU_295	17	13	15	21	12	14	19	18	10	12	11	24	17	14	10	13	10	17
